,Hotel Name,Reviews
0,The Lalit New Delhi,"9,056 reviews"
1,"The Oberoi, New Delhi","2,595 reviews"
2,The Park New Delhi,"4,833 reviews"
3,"Taj Palace, New Delhi","4,143 reviews"
4,Pullman New Delhi Aerocity,"3,183 reviews"
5,Sheraton New Delhi Hotel,"2,981 reviews"
6,Le Meridien New Delhi,"4,583 reviews"
7,The Leela Palace New Delhi,"3,779 reviews"
8,The Roseate New Delhi,"1,961 reviews"
9,JW Marriott Hotel New Delhi Aerocity,"3,973 reviews"
10,"Pride Plaza Hotel Aerocity, New Delhi","5,244 reviews"
11,Roseate House New Delhi,"2,262 reviews"
12,"Shangri-La's - Eros Hotel, New Delhi","4,443 reviews"
13,The Suryaa New Delhi,"4,082 reviews"
14,Hotel Novotel New Delhi Aerocity,"2,746 reviews"
15,"Ambassador, New Delhi - IHCL SeleQtions","1,389 reviews"
16,bloomrooms @ New Delhi Railway Station,"1,762 reviews"
17,Hilton Garden Inn New Delhi / Saket,"2,083 reviews"
18,The Claridges Hotel,"4,134 reviews"
19,"ITC Maurya, a Luxury Collection Hotel, New Delhi","4,975 reviews"
20,Holiday Inn New Delhi International Airport,"3,037 reviews"
21,Radisson Blu Hotel New Delhi Dwarka,"4,460 reviews"
22,The Grand New Delhi,"2,096 reviews"
23,Vivanta New Delhi Dwarka,"2,018 reviews"
24,Ginger New Delhi,"1,330 reviews"
25,Aloft New Delhi Aerocity,796 reviews
26,Hyatt Regency Delhi,"3,745 reviews"
27,ibis New Delhi Aerocity,"2,399 reviews"
28,Andaz Delhi,"3,384 reviews"
29,Crowne Plaza Today New Delhi Okhla,"1,422 reviews"
30,The Imperial Hotel,"3,824 reviews"
31,DoubleTree by Hilton Gurgaon-New Delhi NCR,"2,602 reviews"
32,Shanti Home,"1,301 reviews"
33,Radisson Blu Plaza Delhi Airport,"7,084 reviews"
34,Maidens Hotel,"1,618 reviews"
35,Hotel Ajanta,"2,284 reviews"
36,Fraser Suites New Delhi,425 reviews
37,Radisson Blu Hotel New Delhi Paschim Vihar,"2,517 reviews"
38,Colonel's Retreat,928 reviews
39,Hotel Godwin Deluxe,"1,193 reviews"
40,"juSTa Greater Kailash, New Delhi","1,215 reviews"
41,The Prime Balaji Deluxe @ New Delhi Railway Station Hotel,799 reviews
42,Hotel Grand Godwin,"1,544 reviews"
43,Zostel Delhi,990 reviews
44,Hotel City Star,"1,742 reviews"
45,Smyle Inn,"1,211 reviews"
46,Holiday Inn New Delhi Mayur Vihar Noida,"1,164 reviews"
47,The Lodhi,982 reviews
48,Eleven,649 reviews
49,"The Leela Ambience Convention Hotel, Delhi","4,170 reviews"
50,WelcomHotel Dwarka,"4,110 reviews"
51,"Lemon Tree Premier, Delhi Airport","4,073 reviews"
52,Tree Of Life,556 reviews
53,Taj Mahal Hotel,"2,708 reviews"
54,The Metropolitan Hotel & Spa,"2,497 reviews"
55,Delhi Bed and Breakfast,384 reviews
56,Haveli Hauz Khas,379 reviews
57,Holiday Inn Express New Delhi International Airport T3,789 reviews
58,The Ashok,778 reviews
59,The Manor,508 reviews
60,Jaypee Siddharth,"1,721 reviews"
61,Wood Castle,"1,204 reviews"
62,Tatvamasi Homestay,443 reviews
63,Hotel Hari Piorko,"2,171 reviews"
64,Sham Nath Villa,324 reviews
65,Crowne Plaza New Delhi Rohini,"1,212 reviews"
66,Bajaj Indian Home Stay,338 reviews
67,Madpackers Delhi,432 reviews
68,bloomrooms @ Link Road,"1,189 reviews"
69,"Four Points by Sheraton New Delhi, Airport Highway",848 reviews
70,Hotel Amax Inn,"1,096 reviews"
71,Radisson Blu Marina Connaught Place,"1,538 reviews"
72,La Sagrita,491 reviews
73,Classic Diplomat - New Delhi,318 reviews
74,Hotel Sunstar Grand,869 reviews
75,Hotel The Royal Plaza,"3,796 reviews"
76,Scarlette New Delhi,130 reviews
77,Jugaad Hostels,384 reviews
78,BnB Chrysalis,352 reviews
